tempo_arduino_us,tempo_relogio_pc,contador,ax,ay,az,gx,gy,gz
17995328.0,366155.5978212,1709.0,1.0,-0.01,-0.04,-3.72,0.12,-0.12
18000068.0,366155.6467488,1710.0,1.0,-0.0,-0.04,-3.6,-0.12,-0.49
18004780.0,366155.7420492,1711.0,1.01,-0.01,-0.04,-3.54,0.12,-0.43
18009524.0,366155.7866356,1712.0,1.0,-0.01,-0.04,-3.72,0.3,-0.3
18014240.0,366155.8386991,1713.0,1.0,-0.01,-0.04,-3.6,0.18,-0.43
18018960.0,366155.8845982,1714.0,1.0,-0.0,-0.04,-3.35,0.12,-0.18
18023688.0,366155.936383,1715.0,1.0,-0.0,-0.04,-3.66,0.37,-0.37
18028412.0,366155.9835726,1716.0,1.01,-0.0,-0.04,-3.48,0.61,-0.43
18033140.0,366156.0335323,1717.0,1.0,-0.01,-0.04,-3.41,-0.06,-0.06
18037868.0,366156.082704,1718.0,1.0,-0.0,-0.04,-3.35,0.24,-0.49
18042580.0,366156.1317197,1719.0,1.0,-0.01,-0.04,-3.17,0.12,-0.24
18047304.0,366156.2269456,1720.0,1.0,-0.0,-0.04,-3.17,0.06,-0.18
18052016.0,366156.2453825,1721.0,1.0,-0.0,-0.04,-3.66,0.12,-0.3
18056724.0,366156.3244656,1722.0,1.0,-0.0,-0.04,-3.54,0.43,-0.3
18061440.0,366156.3724057,1723.0,1.0,-0.0,-0.04,-3.41,0.12,-0.37
24694448.0,366156.5215468,3129.0,1.0,-0.0,-0.04,-3.54,0.06,-0.24
24699164.0,366156.5677204,3130.0,1.0,-0.01,-0.03,-3.23,0.12,-0.49
